GENESIS-Tabelle: 12211-9001
Bevölkerung, Erwerbstätige, Erwerbslose, Erwerbspersonen, Nichterwerbspersonen: Deutschland, Jahre (bis 2019), Altersgruppen;;;;
Mikrozensus;;;;
Deutschland;;;;
;;Erwerbstätige;Erwerbslose;Nichterwerbspersonen
;;1000;1000;1000
unter 15 Jahre;04/1991;x;x;12984
unter 15 Jahre;05/1992;x;x;13055
unter 15 Jahre;04/1993;x;x;13107
unter 15 Jahre;04/1994;x;x;13089
unter 15 Jahre;04/1995;x;x;13109
unter 15 Jahre;04/1996;x;x;12979
unter 15 Jahre;04/1997;x;x;12862
unter 15 Jahre;04/1998;x;x;12734
unter 15 Jahre;04/1999;x;x;12598
unter 15 Jahre;05/2000;x;x;12564
unter 15 Jahre;04/2001;x;x;12451
unter 15 Jahre;04/2002;x;x;12329
unter 15 Jahre;05/2003;x;x;12111
unter 15 Jahre;03/2004;x;x;11823
unter 15 Jahre;2005;x;x;11481
unter 15 Jahre;2006;x;x;11253
unter 15 Jahre;2007;x;x;11063
unter 15 Jahre;2008;x;x;10918
unter 15 Jahre;2009;x;x;10769
unter 15 Jahre;2010;x;x;10669
unter 15 Jahre;2011;x;x;10782
unter 15 Jahre;2012;x;x;10706
unter 15 Jahre;2013;x;x;10615
unter 15 Jahre;2014;x;x;10575
unter 15 Jahre;2015;x;x;10537
unter 15 Jahre;2016;x;x;10947
unter 15 Jahre;2017;x;x;11052
unter 15 Jahre;2018;x;x;10836
unter 15 Jahre;2019;x;x;11181
15 bis unter 20 Jahre;04/1991;1643;125;2544
15 bis unter 20 Jahre;05/1992;1526;112;2562
15 bis unter 20 Jahre;04/1993;1427;120;2666
15 bis unter 20 Jahre;04/1994;1343;121;2784
15 bis unter 20 Jahre;04/1995;1278;131;2915
15 bis unter 20 Jahre;04/1996;1257;134;3081
15 bis unter 20 Jahre;04/1997;1290;159;3156
15 bis unter 20 Jahre;04/1998;1312;152;3193
15 bis unter 20 Jahre;04/1999;1393;141;3179
15 bis unter 20 Jahre;05/2000;1381;136;3137
15 bis unter 20 Jahre;04/2001;1340;132;3113
15 bis unter 20 Jahre;04/2002;1300;135;3185
15 bis unter 20 Jahre;05/2003;1265;162;3236
15 bis unter 20 Jahre;03/2004;1206;175;3313
15 bis unter 20 Jahre;2005;1266;218;3437
15 bis unter 20 Jahre;2006;1291;212;3361
15 bis unter 20 Jahre;2007;1359;199;3254
15 bis unter 20 Jahre;2008;1348;166;3141
15 bis unter 20 Jahre;2009;1252;159;3064
15 bis unter 20 Jahre;2010;1162;139;2962
15 bis unter 20 Jahre;2011;1105;121;2789
15 bis unter 20 Jahre;2012;1034;103;2856
15 bis unter 20 Jahre;2013;1058;97;2836
15 bis unter 20 Jahre;2014;1036;98;2873
15 bis unter 20 Jahre;2015;1030;88;2937
15 bis unter 20 Jahre;2016;1100;95;2966
15 bis unter 20 Jahre;2017;1095;98;2881
15 bis unter 20 Jahre;2018;1077;87;2868
15 bis unter 20 Jahre;2019;1110;84;2808
20 bis unter 25 Jahre;04/1991;4340;305;1320
20 bis unter 25 Jahre;05/1992;4037;350;1305
20 bis unter 25 Jahre;04/1993;3670;427;1308
20 bis unter 25 Jahre;04/1994;3388;433;1220
20 bis unter 25 Jahre;04/1995;3176;365;1220
20 bis unter 25 Jahre;04/1996;2991;367;1208
20 bis unter 25 Jahre;04/1997;2834;384;1200
20 bis unter 25 Jahre;04/1998;2835;356;1169
20 bis unter 25 Jahre;04/1999;2911;325;1149
20 bis unter 25 Jahre;05/2000;2946;314;1195
20 bis unter 25 Jahre;04/2001;3026;314;1206
20 bis unter 25 Jahre;04/2002;2934;384;1290
20 bis unter 25 Jahre;05/2003;2929;456;1325
20 bis unter 25 Jahre;03/2004;2793;511;1411
20 bis unter 25 Jahre;2005;2916;529;1471
20 bis unter 25 Jahre;2006;2994;455;1432
20 bis unter 25 Jahre;2007;3081;388;1403
20 bis unter 25 Jahre;2008;3145;353;1381
20 bis unter 25 Jahre;2009;3106;379;1425
20 bis unter 25 Jahre;2010;3127;322;1465
20 bis unter 25 Jahre;2011;3120;269;1390
20 bis unter 25 Jahre;2012;3004;250;1437
20 bis unter 25 Jahre;2013;2953;243;1404
20 bis unter 25 Jahre;2014;2870;229;1394
20 bis unter 25 Jahre;2015;2774;208;1383
20 bis unter 25 Jahre;2016;2798;201;1419
20 bis unter 25 Jahre;2017;2852;188;1377
20 bis unter 25 Jahre;2018;2888;175;1334
20 bis unter 25 Jahre;2019;2966;166;1276
25 bis unter 30 Jahre;04/1991;5087;387;1185
25 bis unter 30 Jahre;05/1992;5066;462;1166
25 bis unter 30 Jahre;04/1993;4976;544;1234
25 bis unter 30 Jahre;04/1994;4834;571;1200
25 bis unter 30 Jahre;04/1995;4704;507;1183
25 bis unter 30 Jahre;04/1996;4510;475;1181
25 bis unter 30 Jahre;04/1997;4323;495;1071
25 bis unter 30 Jahre;04/1998;4062;439;1019
25 bis unter 30 Jahre;04/1999;3820;389;898
25 bis unter 30 Jahre;05/2000;3601;318;843
25 bis unter 30 Jahre;04/2001;3419;326;803
25 bis unter 30 Jahre;04/2002;3222;353;804
25 bis unter 30 Jahre;05/2003;3163;429;816
25 bis unter 30 Jahre;03/2004;3110;476;861
25 bis unter 30 Jahre;2005;3348;479;980
25 bis unter 30 Jahre;2006;3542;464;934
25 bis unter 30 Jahre;2007;3590;396;916
25 bis unter 30 Jahre;2008;3694;339;915
25 bis unter 30 Jahre;2009;3724;384;891
25 bis unter 30 Jahre;2010;3743;343;875
25 bis unter 30 Jahre;2011;3686;273;809
25 bis unter 30 Jahre;2012;3724;259;830
25 bis unter 30 Jahre;2013;3754;268;829
25 bis unter 30 Jahre;2014;3875;253;867
25 bis unter 30 Jahre;2015;3989;246;883
25 bis unter 30 Jahre;2016;4182;235;952
25 bis unter 30 Jahre;2017;4138;216;934
25 bis unter 30 Jahre;2018;4061;193;841
25 bis unter 30 Jahre;2019;3984;169;786
30 bis unter 35 Jahre;04/1991;4807;359;932
30 bis unter 35 Jahre;05/1992;4888;441;935
30 bis unter 35 Jahre;04/1993;4996;531;962
30 bis unter 35 Jahre;04/1994;5133;582;965
30 bis unter 35 Jahre;04/1995;5267;536;1021
30 bis unter 35 Jahre;04/1996;5315;514;1027
30 bis unter 35 Jahre;04/1997;5282;561;998
30 bis unter 35 Jahre;04/1998;5297;550;949
30 bis unter 35 Jahre;04/1999;5271;498;870
30 bis unter 35 Jahre;05/2000;5170;430;855
30 bis unter 35 Jahre;04/2001;4957;417;813
30 bis unter 35 Jahre;04/2002;4741;456;755
