Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GT","Emissions Totals","004","Afghanistan","7225","Emissions (CH4)","6517","Pre- and post- production","2020","2020","3050","FAO TIER 1","kilotonnes","122.3977","E","Estimated value",""
"GT","Emissions Totals","004","Afghanistan","7230","Emissions (N2O)","6517","Pre- and post- production","2020","2020","3050","FAO TIER 1","kilotonnes","0.7446","E","Estimated value",""
"GT","Emissions Totals","004","Afghanistan","7273","Emissions (CO2)","6517","Pre- and post- production","2020","2020","3050","FAO TIER 1","kilotonnes","901.0555","E","Estimated value",""
"GT","Emissions Totals","004","Afghanistan","724413","Emissions (CO2eq) from CH4 (AR5)","6517","Pre- and post- production","2020","2020","3050","FAO TIER 1","kilotonnes","3427.1343","E","Estimated value",""
"GT","Emissions Totals","004","Afghanistan","724313","Emissions (CO2eq) from N2O (AR5)","6517","Pre- and post- production","2020","2020","3050","FAO TIER 1","kilotonnes","197.3181","E","Estimated value",""
"GT","Emissions Totals","004","Afghanistan","723113","Emissions (CO2eq) (AR5)","6517","Pre- and post- production","2020","2020","3050","FAO TIER 1","kilotonnes","4525.5079","E","Estimated value",""
"GT","Emissions Totals","008","Albania","7225","Emissions (CH4)","6517","Pre- and post- production","2020","2020","3050","FAO TIER 1","kilotonnes","23.9652","E","Estimated value",""
"GT","Emissions Totals","008","Albania","7230","Emissions (N2O)","6517","Pre- and post- production","2020","2020","3050","FAO TIER 1","kilotonnes","0.182","E","Estimated value",""
"GT","Emissions Totals","008","Albania","7273","Emissions (CO2)","6517","Pre- and post- production","2020","2020","3050","FAO TIER 1","kilotonnes","575.7587","E","Estimated value",""
"GT","Emissions Totals","008","Albania","717815","Emissions (CO2eq) from F-gases (AR5)","6517","Pre- and post- production","2020","2020","3050","FAO TIER 1","kilotonnes","102.7405","E","Estimated value",""
"GT","Emissions Totals","008","Albania","724413","Emissions (CO2eq) from CH4 (AR5)","6517","Pre- and post- production","2020","2020","3050","FAO TIER 1","kilotonnes","671.0258","E","Estimated value",""
"GT","Emissions Totals","008","Albania","724313","Emissions (CO2eq) from N2O (AR5)","6517","Pre- and post- production","2020","2020","3050","FAO TIER 1","kilotonnes","48.2358","E","Estimated value",""
"GT","Emissions Totals","008","Albania","723113","Emissions (CO2eq) (AR5)","6517","Pre- and post- production","2020","2020","3050","FAO TIER 1","kilotonnes","1397.7608","E","Estimated value",""
"GT","Emissions Totals","012","Algeria","7225","Emissions (CH4)","6517","Pre- and post- production","2020","2020","3050","FAO TIER 1","kilotonnes","343.9873","E","Estimated value",""
"GT","Emissions Totals","012","Algeria","7230","Emissions (N2O)","6517","Pre- and post- production","2020","2020","3050","FAO TIER 1","kilotonnes","2.2572","E","Estimated value",""
"GT","Emissions Totals","012","Algeria","7273","Emissions (CO2)","6517","Pre- and post- production","2020","2020","3050","FAO TIER 1","kilotonnes","26744.7467","E","Estimated value",""
"GT","Emissions Totals","012","Algeria","717815","Emissions (CO2eq) from F-gases (AR5)","6517","Pre- and post- production","2020","2020","3050","FAO TIER 1","kilotonnes","269.0667","E","Estimated value",""
"GT","Emissions Totals","012","Algeria","724413","Emissions (CO2eq) from CH4 (AR5)","6517","Pre- and post- production","2020","2020","3050","FAO TIER 1","kilotonnes","9631.6444","E","Estimated value",""
"GT","Emissions Totals","012","Algeria","724313","Emissions (CO2eq) from N2O (AR5)","6517","Pre- and post- production","2020","2020","3050","FAO TIER 1","kilotonnes","598.1578","E","Estimated value",""
"GT","Emissions Totals","012","Algeria","723113","Emissions (CO2eq) (AR5)","6517","Pre- and post- production","2020","2020","3050","FAO TIER 1","kilotonnes","37243.6155","E","Estimated value",""
"GT","Emissions Totals","016","American Samoa","7225","Emissions (CH4)","6517","Pre- and post- production","2020","2020","3050","FAO TIER 1","kilotonnes","0.0752","E","Estimated value",""
"GT","Emissions Totals","016","American Samoa","7230","Emissions (N2O)","6517","Pre- and post- production","2020","2020","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","016","American Samoa","7273","Emissions (CO2)","6517","Pre- and post- production","2020","2020","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","016","American Samoa","724413","Emissions (CO2eq) from CH4 (AR5)","6517","Pre- and post- production","2020","2020","3050","FAO TIER 1","kilotonnes","2.1049","E","Estimated value",""
"GT","Emissions Totals","016","American Samoa","724313","Emissions (CO2eq) from N2O (AR5)","6517","Pre- and post- production","2020","2020","3050","FAO TIER 1","kilotonnes","0.0004","E","Estimated value",""
"GT","Emissions Totals","016","American Samoa","723113","Emissions (CO2eq) (AR5)","6517","Pre- and post- production","2020","2020","3050","FAO TIER 1","kilotonnes","2.1052","E","Estimated value",""
"GT","Emissions Totals","020","Andorra","7225","Emissions (CH4)","6517","Pre- and post- production","2020","2020","3050","FAO TIER 1","kilotonnes","0.4919","E","Estimated value",""
"GT","Emissions Totals","020","Andorra","7230","Emissions (N2O)","6517","Pre- and post- production","2020","2020","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","020","Andorra","7273","Emissions (CO2)","6517","Pre- and post- production","2020","2020","3050","FAO TIER 1","kilotonnes","2.2036","E","Estimated value",""
"GT","Emissions Totals","020","Andorra","724413","Emissions (CO2eq) from CH4 (AR5)","6517","Pre- and post- production","2020","2020","3050","FAO TIER 1","kilotonnes","13.7745","E","Estimated value",""
"GT","Emissions Totals","020","Andorra","724313","Emissions (CO2eq) from N2O (AR5)","6517","Pre- and post- production","2020","2020","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","020","Andorra","723113","Emissions (CO2eq) (AR5)","6517","Pre- and post- production","2020","2020","3050","FAO TIER 1","kilotonnes","15.9781","E","Estimated value",""
"GT","Emissions Totals","024","Angola","7225","Emissions (CH4)","6517","Pre- and post- production","2020","2020","3050","FAO TIER 1","kilotonnes","100.9871","E","Estimated value",""
"GT","Emissions Totals","024","Angola","7230","Emissions (N2O)","6517","Pre- and post- production","2020","2020","3050","FAO TIER 1","kilotonnes","0.6606","E","Estimated value",""
"GT","Emissions Totals","024","Angola","7273","Emissions (CO2)","6517","Pre- and post- production","2020","2020","3050","FAO TIER 1","kilotonnes","2442.045","E","Estimated value",""
"GT","Emissions Totals","024","Angola","717815","Emissions (CO2eq) from F-gases (AR5)","6517","Pre- and post- production","2020","2020","3050","FAO TIER 1","kilotonnes","31.0451","E","Estimated value",""
"GT","Emissions Totals","024","Angola","724413","Emissions (CO2eq) from CH4 (AR5)","6517","Pre- and post- production","2020","2020","3050","FAO TIER 1","kilotonnes","2827.6387","E","Estimated value",""
"GT","Emissions Totals","024","Angola","724313","Emissions (CO2eq) from N2O (AR5)","6517","Pre- and post- production","2020","2020","3050","FAO TIER 1","kilotonnes","175.0704","E","Estimated value",""
"GT","Emissions Totals","024","Angola","723113","Emissions (CO2eq) (AR5)","6517","Pre- and post- production","2020","2020","3050","FAO TIER 1","kilotonnes","5475.7992","E","Estimated value",""
"GT","Emissions Totals","660","Anguilla","7225","Emissions (CH4)","6517","Pre- and post- production","2020","2020","3050","FAO TIER 1","kilotonnes","0.0275","E","Estimated value",""
"GT","Emissions Totals","660","Anguilla","7230","Emissions (N2O)","6517","Pre- and post- production","2020","2020","3050","FAO TIER 1","kilotonnes","0.0003","E","Estimated value",""
"GT","Emissions Totals","660","Anguilla","7273","Emissions (CO2)","6517","Pre- and post- production","2020","2020","3050","FAO TIER 1","kilotonnes","25.0365","E","Estimated value",""
"GT","Emissions Totals","660","Anguilla","724413","Emissions (CO2eq) from CH4 (AR5)","6517","Pre- and post- production","2020","2020","3050","FAO TIER 1","kilotonnes","0.7702","E","Estimated value",""
"GT","Emissions Totals","660","Anguilla","724313","Emissions (CO2eq) from N2O (AR5)","6517","Pre- and post- production","2020","2020","3050","FAO TIER 1","kilotonnes","0.083","E","Estimated value",""
"GT","Emissions Totals","660","Anguilla","723113","Emissions (CO2eq) (AR5)","6517","Pre- and post- production","2020","2020","3050","FAO TIER 1","kilotonnes","25.8897","E","Estimated value",""
"GT","Emissions Totals","028","Antigua and Barbuda","7225","Emissions (CH4)","6517","Pre- and post- production","2020","2020","3050","FAO TIER 1","kilotonnes","1.1411","E","Estimated value",""
"GT","Emissions Totals","028","Antigua and Barbuda","7230","Emissions (N2O)","6517","Pre- and post- production","2020","2020","3050","FAO TIER 1","kilotonnes","0.0045","E","Estimated value",""
"GT","Emissions Totals","028","Antigua and Barbuda","7273","Emissions (CO2)","6517","Pre- and post- production","2020","2020","3050","FAO TIER 1","kilotonnes","81.2162","E","Estimated value",""
"GT","Emissions Totals","028","Antigua and Barbuda","717815","Emissions (CO2eq) from F-gases (AR5)","6517","Pre- and post- production","2020","2020","3050","FAO TIER 1","kilotonnes","9.224","E","Estimated value",""
"GT","Emissions Totals","028","Antigua and Barbuda","724413","Emissions (CO2eq) from CH4 (AR5)","6517","Pre- and post- production","2020","2020","3050","FAO TIER 1","kilotonnes","31.9517","E","Estimated value",""
"GT","Emissions Totals","028","Antigua and Barbuda","724313","Emissions (CO2eq) from N2O (AR5)","6517","Pre- and post- production","2020","2020","3050","FAO TIER 1","kilotonnes","1.2034","E","Estimated value",""
"GT","Emissions Totals","028","Antigua and Barbuda","723113","Emissions (CO2eq) (AR5)","6517","Pre- and post- production","2020","2020","3050","FAO TIER 1","kilotonnes","123.5953","E","Estimated value",""
"GT","Emissions Totals","032","Argentina","7225","Emissions (CH4)","6517","Pre- and post- production","2020","2020","3050","FAO TIER 1","kilotonnes","422.2339","E","Estimated value",""
"GT","Emissions Totals","032","Argentina","7230","Emissions (N2O)","6517","Pre- and post- production","2020","2020","3050","FAO TIER 1","kilotonnes","2.3606","E","Estimated value",""
"GT","Emissions Totals","032","Argentina","7273","Emissions (CO2)","6517","Pre- and post- production","2020","2020","3050","FAO TIER 1","kilotonnes","21119.8082","E","Estimated value",""
"GT","Emissions Totals","032","Argentina","724413","Emissions (CO2eq) from CH4 (AR5)","6517","Pre- and post- production","2020","2020","3050","FAO TIER 1","kilotonnes","11822.5505","E","Estimated value",""
"GT","Emissions Totals","032","Argentina","724313","Emissions (CO2eq) from N2O (AR5)","6517","Pre- and post- production","2020","2020","3050","FAO TIER 1","kilotonnes","625.5526","E","Estimated value",""
"GT","Emissions Totals","032","Argentina","723113","Emissions (CO2eq) (AR5)","6517","Pre- and post- production","2020","2020","3050","FAO TIER 1","kilotonnes","33567.9113","E","Estimated value",""
"GT","Emissions Totals","051","Armenia","7225","Emissions (CH4)","6517","Pre- and post- production","2020","2020","3050","FAO TIER 1","kilotonnes","17.4057","E","Estimated value",""
"GT","Emissions Totals","051","Armenia","7230","Emissions (N2O)","6517","Pre- and post- production","2020","2020","3050","FAO TIER 1","kilotonnes","0.1114","E","Estimated value",""
"GT","Emissions Totals","051","Armenia","7273","Emissions (CO2)","6517","Pre- and post- production","2020","2020","3050","FAO TIER 1","kilotonnes","602.9985","E","Estimated value",""
