Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GT","Emissions Totals","004","Afghanistan","7273","Emissions (CO2)","6518","Agrifood systems","2020","2020","3050","FAO TIER 1","kilotonnes","1018.1354","E","Estimated value",""
"GT","Emissions Totals","008","Albania","7273","Emissions (CO2)","6518","Agrifood systems","2020","2020","3050","FAO TIER 1","kilotonnes","1003.9081","E","Estimated value",""
"GT","Emissions Totals","012","Algeria","7273","Emissions (CO2)","6518","Agrifood systems","2020","2020","3050","FAO TIER 1","kilotonnes","27734.8199","E","Estimated value",""
"GT","Emissions Totals","016","American Samoa","7273","Emissions (CO2)","6518","Agrifood systems","2020","2020","3050","FAO TIER 1","kilotonnes","9.2257","E","Estimated value",""
"GT","Emissions Totals","020","Andorra","7273","Emissions (CO2)","6518","Agrifood systems","2020","2020","3050","FAO TIER 1","kilotonnes","22.916","E","Estimated value",""
"GT","Emissions Totals","024","Angola","7273","Emissions (CO2)","6518","Agrifood systems","2020","2020","3050","FAO TIER 1","kilotonnes","38115.4181","E","Estimated value",""
"GT","Emissions Totals","660","Anguilla","7273","Emissions (CO2)","6518","Agrifood systems","2020","2020","3050","FAO TIER 1","kilotonnes","28.7238","E","Estimated value",""
"GT","Emissions Totals","028","Antigua and Barbuda","7273","Emissions (CO2)","6518","Agrifood systems","2020","2020","3050","FAO TIER 1","kilotonnes","84.6934","E","Estimated value",""
"GT","Emissions Totals","032","Argentina","7273","Emissions (CO2)","6518","Agrifood systems","2020","2020","3050","FAO TIER 1","kilotonnes","93721.0206","E","Estimated value",""
"GT","Emissions Totals","051","Armenia","7273","Emissions (CO2)","6518","Agrifood systems","2020","2020","3050","FAO TIER 1","kilotonnes","1042.8617","E","Estimated value",""
"GT","Emissions Totals","533","Aruba","7273","Emissions (CO2)","6518","Agrifood systems","2020","2020","3050","FAO TIER 1","kilotonnes","187.4283","E","Estimated value",""
"GT","Emissions Totals","036","Australia","7273","Emissions (CO2)","6518","Agrifood systems","2020","2020","3050","FAO TIER 1","kilotonnes","51056.6332","E","Estimated value",""
"GT","Emissions Totals","040","Austria","7273","Emissions (CO2)","6518","Agrifood systems","2020","2020","3050","FAO TIER 1","kilotonnes","6712.3224","E","Estimated value",""
"GT","Emissions Totals","031","Azerbaijan","7273","Emissions (CO2)","6518","Agrifood systems","2020","2020","3050","FAO TIER 1","kilotonnes","5196.7817","E","Estimated value",""
"GT","Emissions Totals","044","Bahamas","7273","Emissions (CO2)","6518","Agrifood systems","2020","2020","3050","FAO TIER 1","kilotonnes","459.5493","E","Estimated value",""
"GT","Emissions Totals","048","Bahrain","7273","Emissions (CO2)","6518","Agrifood systems","2020","2020","3050","FAO TIER 1","kilotonnes","3387.6329","E","Estimated value",""
"GT","Emissions Totals","050","Bangladesh","7273","Emissions (CO2)","6518","Agrifood systems","2020","2020","3050","FAO TIER 1","kilotonnes","35054.7192","E","Estimated value",""
